NEIGHBORHOOD;0-14 years;15-24 years;25- 64 years;65 years and more
el Raval;6.146;4.867;30.926;5.669
el Barri Gotic;1.354;1.532;10.966;2.210
la Barceloneta;1.268;1.285;9.672;2.771
Sant Pere, Santa Caterina i la Ribera;2.221;2.065;15.175;3.260
el Fort Pienc;3.703;2.781;18.727;6.805
la Sagrada Familia;5.396;4.331;30.249;11.563
la Dreta de l'Eixample;5.341;3.930;25.407;9.374
l'Antiga Esquerra de l'Eixample;4.628;3.638;24.912;9.106
la Nova Esquerra de l'Eixample;6.183;4.868;33.736;13.393
Sant Antoni;3.983;3.131;22.560;8.671
el Poble Sec;4.728;3.418;25.202;6.880
la Marina del Prat Vermell;148;104;685;212
la Marina de Port;4.184;3.186;17.185;6.029
la Font de la Guatlla;1.097;887;6.083;2.334
Hostafrancs;1.785;1.315;9.742;3.062
la Bordeta;2.153;1.561;10.666;4.150
Sants - Badal;2.590;2.073;13.937;5.387
Sants;4.736;3.403;24.227;8.761
les Corts;5.533;3.828;24.882;11.766
la Maternitat i Sant Ramon;2.872;2.028;12.818;6.230
Pedralbes;1.947;1.335;5.870;2.924
Vallvidrera, el Tibidabo i les Planes;873;487;2.632;678
Sarria;4.557;2.660;12.572;5.243
les Tres Torres;2.914;2.099;8.146;3.508
Sant Gervasi - la Bonanova;4.179;2.942;12.930;5.723
Sant Gervasi - Galvany;7.019;5.354;24.641;10.652
el Putxet i el Farro;4.201;2.945;16.130;6.194
Vallcarca i els Penitents;2.158;1.326;8.632;3.643
el Coll;1.003;642;4.253;1.514
la Salut;1.630;1.128;7.129;3.298
la Vila de Gracia;5.892;3.798;31.142;9.830
el Camp d'en Grassot i Gracia Nova;4.010;2.717;19.442;8.160
el Baix Guinardo;2.824;2.083;14.484;6.281
Can Baro;1.068;768;5.087;2.071
el Guinardo;4.586;3.133;20.512;8.236
la Font d'en Fargues;1.310;885;4.949;2.239
el Carmel;4.130;2.823;17.429;7.169
la Teixonera;1.454;1.086;6.541;2.538
Sant Genis dels Agudells;814;617;3.574;1.849
Montbau;572;413;2.556;1.561
la Vall d'Hebron;714;510;3.063;1.497
la Clota;87;53;378;92
Horta;3.313;2.275;14.351;6.776
Vilapicina i la Torre Llobeta;3.081;2.237;13.917;6.356
Porta;3.143;2.053;13.480;6.324
el Turo de la Peira;2.059;1.480;8.396;3.532
Can Peguera;300;232;1.222;517
la Guineueta;1.930;1.269;7.668;4.364
Canyelles;781;581;3.678;1.816
les Roquetes;2.328;1.616;8.784;2.862
Verdun;1.619;1.122;6.774;2.838
la Prosperitat;3.327;2.366;13.920;6.776
la Trinitat Nova;1.056;743;4.103;1.359
Torre Baro;531;351;1.609;365
Ciutat Meridiana;1.692;1.192;5.581;1.877
Vallbona;258;130;751;233
la Trinitat Vella;1.663;1.076;5.676;1.568
Baro de Viver;434;291;1.409;405
el Bon Pastor;2.241;1.127;6.949;2.243
Sant Andreu;7.731;4.709;32.221;12.522
la Sagrera;3.499;2.432;16.320;6.833
el Congres i els Indians;1.750;1.270;7.797;3.299
Navas;2.611;1.934;12.270;5.314
el Camp de l'Arpa del Clot;4.169;3.055;22.059;8.885
el Clot;3.411;2.531;15.795;5.302
el Parc i la Llacuna del Poblenou;1.895;1.327;9.097;2.815
la Vila Olimpica del Poblenou;1.495;1.207;5.434;1.231
el Poblenou;5.431;2.614;20.226;5.572
Diagonal Mar i el Front Maritim del Poblenou;2.675;934;7.989;2.031
el Besos i el Maresme;3.323;2.298;13.201;4.187
Provençals del Poblenou;2.908;1.778;12.116;3.685
Sant Marti de Provençals;3.187;2.242;14.002;6.715
la Verneda i la Pau;3.454;2.508;15.117;7612
